,longitude,variable,value
555,-913.473,lnwpred_longq,4.756881047
556,-913.3847237,lnwpred_longq,4.755503426
557,-914.76,lnwpred_longq,4.765909971
558,-914.264,lnwpred_longq,4.764880916
559,-913.398,lnwpred_longq,4.755716833
560,-913.243,lnwpred_longq,4.753088112
561,-913.239,lnwpred_longq,4.753016301
562,-913.616,lnwpred_longq,4.758906095
563,-913.246,lnwpred_longq,4.753141839
564,-913.77,lnwpred_longq,4.760801226
565,-913.009,lnwpred_longq,4.748551021
566,-913.988,lnwpred_longq,4.762977399
567,-913.749,lnwpred_longq,4.760560245
568,-914.626,lnwpred_longq,4.765934953
569,-910.373,lnwpred_longq,4.650186103
570,-915.205,lnwpred_longq,4.764217635
571,-912.59,lnwpred_longq,4.7387179
572,-914.8694992,lnwpred_longq,4.765723014
573,-914.8694992,lnwpred_longq,4.765723014
574,-914.147,lnwpred_longq,4.764190189
575,-914.172,lnwpred_longq,4.764352147
576,-912.6254,lnwpred_longq,4.73963349
577,-915.52,lnwpred_longq,4.761524341
578,-913.419,lnwpred_longq,4.756049896
579,-913.949,lnwpred_longq,4.762631689
580,-915.792,lnwpred_longq,4.758201403
581,-914.237,lnwpred_longq,4.764736696
582,-914.952,lnwpred_longq,4.765483212
583,-913.327,lnwpred_longq,4.754549962
584,-914.464,lnwpred_longq,4.765665635
585,-912.592,lnwpred_longq,4.738770045
586,-914.731,lnwpred_longq,4.765934398
587,-914.316,lnwpred_longq,4.765133014
588,-913.976,lnwpred_longq,4.76287305
589,-913.459,lnwpred_longq,4.756669061
590,-915.641,lnwpred_longq,4.760160247
591,-914.746,lnwpred_longq,4.765923075
592,-914.76,lnwpred_longq,4.765909971
593,-914.512,lnwpred_longq,4.765779612
594,-913.137,lnwpred_longq,4.751117597
595,-912.564,lnwpred_longq,4.738035461
596,-914.262,lnwpred_longq,4.764870546
597,-912.83,lnwpred_longq,4.744618575
598,-913.538,lnwpred_longq,4.757833192
599,-912.947,lnwpred_longq,4.747234255
600,-915.6153,lnwpred_longq,4.760465274
